game_id,mechanic_id
174430,0
174430,1
174430,2
174430,3
174430,4
174430,5
174430,6
174430,7
174430,8
161936,9
161936,1
161936,3
161936,10
161936,11
161936,12
161936,8
182028,9
182028,13
182028,14
12333,15
12333,16
12333,17
12333,3
12333,6
167791,14
167791,3
167791,18
167791,8
187645,15
187645,19
187645,17
187645,3
187645,8
120677,15
120677,20
120677,21
120677,8
169786,15
169786,2
169786,6
169786,8
173346,14
173346,11
193738,22
193738,3
193738,10
193738,18
84876,17
84876,11
84876,18
84876,21
115746,15
115746,19
115746,16
115746,17
115746,3
102794,18
102794,23
3076,21
31260,24
31260,14
31260,3
31260,8
31260,23
96848,14
96848,1
96848,22
96848,17
96848,2
96848,3
96848,4
96848,5
96848,18
96848,8
170216,9
170216,15
170216,19
170216,14
170216,3
170216,25
170216,6
205637,9
205637,1
205637,22
205637,3
205637,5
205637,8
205059,19
205059,1
205059,17
205059,3
205059,4
205059,26
205059,5
205059,8
25613,9
25613,13
25613,14
25613,3
209010,0
209010,14
209010,1
209010,17
209010,4
209010,8
183394,3
183394,21
183394,23
164153,17
164153,2
164153,4
164153,26
164153,5
164153,8
124361,14
124361,22
124361,3
124361,10
164928,22
164928,10
164928,23
2651,13
2651,20
72125,15
72125,17
72125,2
72125,4
72125,27
72125,18
72125,21
72125,8
175914,14
175914,22
175914,4
175914,20
175914,6
177736,24
177736,17
177736,28
177736,29
177736,18
177736,23
121921,0
121921,1
121921,22
121921,17
121921,7
121921,18
121921,8
121921,23
28720,3
28720,20
126163,11
126163,23
35677,23
124742,9
124742,3
124742,30
124742,8
55690,1
55690,17
55690,2
55690,5
55690,7
171623,14
171623,17
171623,10
171623,11
171623,8
171623,23
180263,1
180263,3
180263,4
180263,7
178900,25
178900,26
178900,31
178900,29
122515,13
122515,25
122515,4
122515,32
122515,20
122515,11
122515,18
122515,23
68448,14
68448,3
68448,11
68448,6
68448,8
146508,1
146508,17
146508,5
146508,7
146508,33
146508,8
18602,23
146021,1
146021,17
146021,10
146021,8
12493,9
12493,34
12493,17
12493,35
12493,4
12493,18
12493,12
12493,21
12493,8
12493,36
28143,3
28143,6
28143,21
28143,8
110327,11
110327,37
110327,23
62219,15
62219,14
62219,2
62219,4
62219,18
62219,8
62219,23
157354,15
157354,13
157354,4
157354,11
157354,21
93,15
93,19
93,13
93,14
93,3
93,25
93,6
163412,18
163412,33
132531,22
132531,17
132531,6
132531,21
132531,8
159675,23
40834,14
40834,22
40834,3
201808,14
201808,22
201808,27
201808,10
201808,29
150376,9
150376,19
150376,1
150376,17
150376,3
150376,29
150376,7
150376,12
150376,8
150376,36
103885,0
103885,17
103885,27
103885,6
103885,8
37111,19
37111,1
37111,17
37111,3
37111,26
37111,5
37111,8
221107,1
221107,3
221107,32
221107,10
221107,11
221107,8
2511,1
2511,7
172386,0
172386,15
172386,14
172386,22
172386,3
172386,6
172386,38
172386,8
172386,23
144733,23
102680,19
102680,14
102680,3
102680,11
73439,15
73439,17
73439,23
36218,14
36218,22
36218,3
42,15
42,3
42,11
42,18
30549,9
30549,1
30549,3
30549,10
30549,11
30549,12
30549,8
220308,4
220308,20
220308,21
220308,8
194655,2
194655,18
194655,8
125153,39
125153,11
125153,23
521,26
104162,9
104162,17
104162,2
104162,3
104162,4
104162,26
104162,8
127023,9
127023,15
127023,19
127023,14
127023,3
127023,21
155426,14
155426,28
155426,11
155426,18
9609,9
9609,15
9609,19
9609,16
9609,17
9609,3
34635,17
34635,11
34635,23
161970,9
161970,14
161970,3
161970,23
216132,39
216132,4
216132,20
216132,8
128882,25
128882,26
128882,6
128882,8
128882,36
103343,15
103343,19
103343,13
103343,3
103343,27
103343,6
103343,8
175155,15
175155,17
175155,3
175155,4
175155,8
155068,17
155068,2
155068,4
155068,8
146652,14
146652,1
146652,22
146652,26
146652,27
146652,8
147020,14
147020,22
147020,3
147020,37
70149,4
70149,28
70149,11
70149,18
70149,23
123260,14
123260,11
123260,18
126042,14
126042,8
14996,14
14996,3
14996,20
14996,11
43111,9
43111,15
43111,19
43111,17
43111,3
43111,5
43111,37
43111,8
14105,16
14105,17
14105,3
14105,35
14105,4
148949,17
148949,2
148949,4
148949,32
17133,9
17133,13
17133,14
17133,32
17133,20
17133,18
91,16
91,17
91,10
185343,9
185343,14
185343,17
185343,8
185343,23
171131,2
171131,40
171131,26
171131,5
171131,30
171131,6
198928,9
198928,1
198928,3
198928,10
198928,11
198928,12
198928,8
39463,3
39463,26
39463,37
39463,8
21050,16
21050,35
21050,41
21050,21
9216,13
9216,3
9216,29
77423,1
77423,3
77423,8
54043,14
54043,3
54043,11
146886,15
146886,17
146886,3
146886,6
146886,8
146886,23
43015,9
43015,15
43015,10
43015,20
27833,13
27833,32
27833,20
27833,18
176189,1
176189,17
176189,4
176189,8
4098,13
4098,17
4098,27
4098,20
4098,18
230802,28
230802,11
230802,18
104006,11
