game_id,name,description_url,players_min_amount,players_max_amount,duration,release_year,rating,picture,player_min_age,mechanics,categories,game_designers
16216,Carcassonne: The Discovery,https://boardgamegeek.com/boardgame/16216/carcassonne-discovery,2,5,30,2005,6.3224350000000005,https://cf.geekdo-images.com/images/pic134384.jpg,8,['Tile Placement'],['Medieval'],['Leo Colovini' ' Klaus-Jürgen Wrede']
25261,Tannhäuser,https://boardgamegeek.com/boardgame/25261/tannhauser,2,10,120,2007,6.313215,https://cf.geekdo-images.com/images/pic191492.jpg,13,['Dice Rolling' ' Point to Point Movement' ' Variable Player Powers'],"['Fantasy' ' Fighting' ' Horror' ' Miniatures' ' Science Fiction'
 ' Spies/Secret Agents' ' Wargame' ' World War I']",['William Grosselin' ' Didier Poli']
8195,Viva Topo!,https://boardgamegeek.com/boardgame/8195/viva-topo,2,4,30,2002,6.504335,https://cf.geekdo-images.com/images/pic2607527.jpg,4,['Press Your Luck' ' Roll / Spin and Move'],"['Animals' "" Children's Game"" ' Dice']",['Manfred Ludwig']
216597,Flatline: A FUSE Aftershock Game,https://boardgamegeek.com/boardgame/216597/flatline-fuse-aftershock-game,1,5,45,2017,6.79401,https://cf.geekdo-images.com/images/pic3489123.jpg,10,['Co-operative Play' ' Dice Rolling' ' Press Your Luck'],['Dice' ' Medical' ' Real-time' ' Science Fiction'],['Kane Klenko']
75091,Norenberc,https://boardgamegeek.com/boardgame/75091/norenberc,2,5,90,2010,6.48821,https://cf.geekdo-images.com/images/pic890010.jpg,12,['Set Collection' ' Simultaneous Action Selection' ' Worker Placement'],['Economic' ' Medieval'],['Andreas Steding']
40770,The Golden City,https://boardgamegeek.com/boardgame/40770/golden-city,3,4,60,2009,6.390055,https://cf.geekdo-images.com/images/pic689677.jpg,10,"['Area Control / Area Influence' ' Auction/Bidding'
 ' Route/Network Building']",['Adventure' ' Ancient'],['Michael Schacht']
805,Buffy the Vampire Slayer: The Game,https://boardgamegeek.com/boardgame/805/buffy-vampire-slayer-game,2,5,90,2000,6.38808,https://cf.geekdo-images.com/images/pic97113.jpg,12,"['Partnerships' ' Role Playing' ' Roll / Spin and Move'
 ' Variable Player Powers']",['Horror' ' Movies / TV / Radio theme'],['Rob Daviau' ' Bill Sabram' ' Craig Van Ness']
1484,Clue: The Great Museum Caper,https://boardgamegeek.com/boardgame/1484/clue-great-museum-caper,2,4,30,1991,6.425505,https://cf.geekdo-images.com/images/pic886101.jpg,10,['Partnerships' ' Secret Unit Deployment'],"[""Children's Game"" ' Deduction']",['John LaBelle' ' Thomas Rabideau' ' Dave Rabideau']
36888,After the Flood,https://boardgamegeek.com/boardgame/36888/after-flood,3,3,180,2008,6.522525,https://cf.geekdo-images.com/images/pic352448.jpg,13,"['Area Control / Area Influence' ' Area-Impulse' ' Dice Rolling'
 ' Set Collection']",['Ancient' ' Civilization' ' Fighting'],['Martin Wallace']
154003,Pagoda,https://boardgamegeek.com/boardgame/154003/pagoda,2,2,45,2014,6.4365000000000006,https://cf.geekdo-images.com/images/pic1918075.jpg,8,['Hand Management'],['Ancient'],['Arve D. Fühler']
770,Loot,https://boardgamegeek.com/boardgame/770/loot,2,8,20,1992,6.220815,https://cf.geekdo-images.com/images/pic3360346.jpg,10,['Area Control / Area Influence' ' Hand Management' ' Partnerships'],['Card Game' ' Nautical' ' Pirates'],['Reiner Knizia']
40425,Maori,https://boardgamegeek.com/boardgame/40425/maori,2,5,30,2009,6.377104999999999,https://cf.geekdo-images.com/images/pic498125.jpg,8,['Tile Placement'],['Exploration' ' Nautical'],['Günter Burkhardt']
28829,Field Commander: Rommel,https://boardgamegeek.com/boardgame/28829/field-commander-rommel,1,1,120,2008,6.5688200000000005,https://cf.geekdo-images.com/images/pic1096391.jpg,12,['Area Movement' ' Dice Rolling'],['Wargame' ' World War II'],['Dan Verssen']
18460,Lock 'n Load: Band of Heroes,https://boardgamegeek.com/boardgame/18460/lock-n-load-band-heroes,2,2,60,2005,6.7815449999999995,https://cf.geekdo-images.com/images/pic629266.jpg,12,['Hex-and-Counter' ' Modular Board'],['Wargame' ' World War II'],['Mark H. Walker']
